                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     99,                0.64123,                 1.1498,                0.50472,                0.95805,                0.83472,                0.93362,                0.90298,                0.77458,                0.80777,                0.87656,                0.83792,                0.64139,                0.64898,                 1.5893,                0.54324,                0.91289,               0.005149,               0.005149,               0.005149
                    100,                0.61982,                0.98336,                0.50372,                0.94453,                0.82546,                0.92522,                0.91301,                0.77424,                0.78725,                0.85201,                0.82948,                0.64783,                 0.6458,                  1.706,                0.56007,                0.89956,              0.0050995,              0.0050995,              0.0050995
                    101,                0.66296,                 1.1458,                 0.5253,                 0.9444,                0.80267,                0.91155,                0.90701,                0.76416,                   0.77,                0.83831,                0.84655,                0.64758,                0.62342,                 1.6646,                0.53433,                0.89654,                0.00505,                0.00505,                0.00505
                    102,                0.60438,                 1.0028,                0.48187,                0.95314,                0.81661,                0.92351,                0.93889,                0.79014,                0.79342,                0.86197,                0.87356,                0.65342,                 0.6244,                 1.8744,                0.49449,                0.90233,              0.0050005,              0.0050005,              0.0050005
                    103,                 0.6254,                 1.1159,                0.50949,                0.96199,                0.84296,                0.93489,                0.94746,                0.80778,                0.81266,                0.89519,                0.88264,                0.66542,                0.60789,                 1.8868,                0.49434,                0.90067,               0.004951,               0.004951,               0.004951
                    104,                0.61947,                   1.09,                0.47825,                0.94609,                0.90931,                0.93799,                0.95769,                0.82184,                0.87713,                0.88837,                0.88995,                0.67967,                0.65044,                 1.9517,                0.48444,                0.89856,              0.0049015,              0.0049015,              0.0049015
                    105,                0.60898,                 1.0415,                0.48237,                0.94177,                0.89134,                0.91784,                0.95399,                0.82112,                 0.8648,                0.87161,                0.89912,                0.70357,                0.61857,                 1.7102,                0.46485,                0.89661,               0.004852,               0.004852,               0.004852
                    106,                0.61586,                 1.0611,                0.48214,                0.95673,                0.82268,                0.96173,                0.93248,                0.78329,                0.87447,                0.77876,                0.85356,                0.66354,                0.62825,                  1.845,                0.48091,                 0.8986,              0.0048025,              0.0048025,              0.0048025
                    107,                0.61757,                 1.0372,                0.48254,                0.95596,                 0.8857,                0.95492,                 0.9441,                0.81162,                0.84909,                0.88883,                0.88595,                0.69092,                0.63153,                 1.7401,                0.49032,                0.88965,               0.004753,               0.004753,               0.004753
                    108,                0.60878,                 1.0121,                 0.4951,                0.95621,                0.89712,                0.89083,                0.91421,                0.78301,                0.84351,                0.82535,                0.85185,                0.66662,                0.64148,                 1.6614,                0.51672,                0.88925,              0.0047035,              0.0047035,              0.0047035
                    109,                0.59571,                0.99633,                0.47854,                0.92677,                0.89072,                0.96204,                0.94162,                0.81706,                 0.8449,                0.88565,                0.88446,                0.70414,                0.62202,                 1.5948,                0.49222,                0.88252,               0.004654,               0.004654,               0.004654
                    110,                0.60999,                0.92911,                0.49587,                 0.9396,                0.90525,                0.94772,                0.95909,                0.82561,                 0.8722,                 0.9018,                0.91789,                0.72737,                 0.6212,                 1.5869,                0.49374,                0.87576,              0.0046045,              0.0046045,              0.0046045
                    111,                0.59609,                0.99611,                0.47704,                0.93106,                0.87869,                0.92392,                0.94531,                0.81507,                0.86402,                 0.8921,                0.91224,                0.71125,                0.61069,                 1.6814,                0.49288,                0.87911,               0.004555,               0.004555,               0.004555
                    112,                0.61342,                0.99711,                0.50573,                 0.9375,                0.75663,                0.90956,                0.86063,                0.74431,                0.73797,                0.85249,                0.82389,                0.63317,                0.60666,                 1.6435,                0.49985,                0.88122,              0.0045055,              0.0045055,              0.0045055
                    113,                0.60498,                0.99799,                0.47857,                0.94585,                0.72681,                 0.8373,                0.83915,                0.71648,                0.69516,                0.84376,                0.79675,                 0.6249,                0.61421,                 1.7601,                0.50972,                0.88325,               0.004456,               0.004456,               0.004456
                    114,                0.59832,                0.93615,                 0.4869,                0.94924,                0.75289,                0.78077,                0.80666,                0.68224,                0.65074,                0.77667,                0.74631,                0.58935,                0.61797,                 1.8569,                0.48811,                0.88749,              0.0044065,              0.0044065,              0.0044065
                    115,                0.58518,                0.99529,                0.45391,                0.93377,                0.89631,                0.82843,                 0.8344,                0.69963,                0.85328,                0.75935,                0.75921,                0.58996,                 0.6235,                 1.9204,                0.48648,                0.89885,               0.004357,               0.004357,               0.004357
                    116,                0.60762,                 1.0492,                0.49886,                0.95425,                0.75246,                0.89178,                0.86547,                0.72862,                0.72215,                0.82427,                0.78688,                 0.6034,                0.62678,                  1.925,                0.48132,                0.89843,              0.0043075,              0.0043075,              0.0043075
                    117,                0.60155,                0.99894,                0.46766,                0.94032,                  0.819,                0.90611,                0.86441,                0.72593,                0.77585,                0.83697,                0.79252,                0.61388,                0.60502,                  1.801,                0.46891,                0.89718,               0.004258,               0.004258,               0.004258
                    118,                0.61424,                0.96079,                0.49757,                0.95644,                0.84513,                0.94715,                0.89464,                0.77253,                0.80034,                0.87745,                0.81901,                0.64227,                0.63814,                 1.7333,                0.46083,                0.89167,              0.0042085,              0.0042085,              0.0042085
                    119,                 0.6395,                0.98308,                0.47825,                0.95815,                0.85483,                0.97352,                0.89205,                0.77206,                 0.8094,                 0.9033,                 0.8168,                0.63631,                0.60495,                 1.6209,                0.46848,                0.89209,               0.004159,               0.004159,               0.004159
                    120,                0.57942,                0.98541,                 0.4748,                0.93956,                0.83451,                0.97014,                0.90333,                0.77792,                0.79045,                0.90703,                0.82567,                0.64823,                0.61355,                 1.5349,                0.48013,                0.89045,              0.0041095,              0.0041095,              0.0041095
                    121,                0.58481,                0.90422,                0.45586,                 0.9327,                0.76546,                  0.943,                 0.8713,                0.74491,                0.73828,                 0.8904,                0.83059,                0.64017,                0.61594,                 1.3982,                0.48789,                0.89018,                0.00406,                0.00406,                0.00406
                    122,                0.58187,                 1.0839,                0.45207,                0.93312,                 0.7438,                0.89305,                0.85408,                0.74232,                0.72622,                0.82656,                0.81202,                0.63899,                0.61525,                 1.4714,                0.50119,                0.89366,              0.0040105,              0.0040105,              0.0040105
                    123,                0.57837,                0.94557,                0.43418,                0.93458,                0.82941,                0.87921,                0.88477,                0.68746,                0.79459,                0.79906,                0.83029,                0.56661,                 0.6486,                 1.7431,                0.54561,                0.90815,               0.003961,               0.003961,               0.003961
                    124,                0.61111,                 1.0139,                0.48215,                0.95059,                0.74444,                0.96309,                0.86982,                0.72441,                0.71095,                0.90179,                0.83089,                0.62229,                 0.6451,                 1.4363,                0.51855,                0.89886,              0.0039115,              0.0039115,              0.0039115
                    125,                  0.608,                0.91485,                0.50295,                0.95393,                0.82749,                0.96672,                0.91758,                   0.77,                0.79225,                0.90906,                0.85877,                0.65783,                0.61215,                 1.3784,                0.48266,                0.88072,               0.003862,               0.003862,               0.003862
                    126,                0.60322,                   0.93,                0.46759,                0.95007,                0.83609,                0.96036,                0.93071,                0.78794,                0.80453,                0.90713,                0.85875,                0.64736,                0.62461,                   1.43,                0.47833,                0.88421,              0.0038125,              0.0038125,              0.0038125
                    127,                0.59811,                0.91971,                0.48304,                0.94497,                 0.8345,                0.97389,                0.94371,                0.79758,                0.80157,                0.91687,                0.86874,                0.65668,                0.61736,                 1.4922,                0.46647,                0.88283,               0.003763,               0.003763,               0.003763
                    128,                0.61786,                 1.1954,                0.53442,                0.96295,                 0.8814,                0.97272,                0.96101,                0.81527,                0.84673,                0.91582,                0.88246,                 0.6931,                0.62099,                 1.6417,                 0.4553,                0.88401,              0.0037135,              0.0037135,              0.0037135
                    129,                 0.6159,                 1.0141,                0.48028,                0.96311,                0.88463,                0.90217,                0.94802,                0.80821,                0.79534,                0.91718,                 0.8651,                 0.6727,                0.61242,                 1.5436,                 0.4529,                0.88311,               0.003664,               0.003664,               0.003664
                    130,                0.57772,                0.89662,                0.45133,                0.95496,                0.84491,                0.98116,                0.94181,                0.79434,                0.81113,                0.93051,                 0.8637,                0.65975,                0.61557,                 1.4104,                0.44827,                 0.8853,              0.0036145,              0.0036145,              0.0036145
                    131,                0.59719,                 1.0144,                 0.4668,                0.93506,                0.89249,                0.89543,                0.91615,                0.77867,                0.85112,                0.84378,                0.86213,                0.65911,                0.60468,                 1.3668,                0.47277,                0.87858,               0.003565,               0.003565,               0.003565
                    132,                0.57337,                0.94644,                0.45544,                0.92538,                0.86642,                 0.8665,                0.90757,                0.77295,                0.80941,                0.83304,                0.85783,                0.65806,                0.60181,                 1.3454,                0.47232,                0.87191,              0.0035155,              0.0035155,              0.0035155
                    133,                0.56545,                0.86353,                0.44748,                0.92534,                0.92804,                0.64451,                0.85036,                0.72432,                0.77708,                0.55523,                0.74334,                0.57805,                0.67941,                 1.7467,                0.99668,                0.92197,               0.003466,               0.003466,               0.003466
                    134,                0.54915,                0.94307,                0.44426,                0.93266,                0.90066,                0.73702,                0.91901,                0.75939,                0.84135,                0.67669,                0.85863,                0.65677,                0.63759,                 1.3394,                0.79561,                0.90358,              0.0034165,              0.0034165,              0.0034165
                    135,                0.57325,                0.98516,                 0.4511,                0.92583,                0.85204,                0.80301,                0.91283,                 0.7657,                0.68578,                0.89023,                0.86456,                 0.6594,                0.63062,                 1.4075,                0.62834,                0.90192,               0.003367,               0.003367,               0.003367
                    136,                0.57847,                0.94475,                0.48745,                 0.9507,                0.73889,                0.93841,                0.90601,                0.75625,                0.71998,                0.86202,                0.85275,                0.65535,                0.62436,                 1.5668,                0.53702,                0.89207,              0.0033175,              0.0033175,              0.0033175
                    137,                0.54595,                0.87603,                0.41552,                0.90655,                0.82472,                0.90726,                 0.9006,                 0.7494,                0.79913,                0.83933,                0.86397,                0.65538,                0.62597,                 1.7221,                0.49626,                0.89233,               0.003268,               0.003268,               0.003268
                    138,                0.57732,                 0.9269,                0.45605,                 0.9417,                0.84874,                0.93226,                0.90948,                0.76849,                0.81931,                0.87127,                0.86897,                0.65978,                0.61231,                 1.7066,                 0.4597,                0.88853,              0.0032185,              0.0032185,              0.0032185
                    139,                0.54892,                0.87653,                0.44851,                0.92671,                0.88643,                0.98693,                0.93488,                0.78243,                0.86742,                 0.9158,                0.89624,                0.68754,                0.61863,                 1.5719,                0.44549,                  0.891,               0.003169,               0.003169,               0.003169
                    140,                0.55606,                 1.0413,                0.42352,                0.94572,                0.88052,                0.91304,                0.92296,                0.77915,                0.86189,                0.89371,                0.87439,                 0.6899,                 0.6081,                 1.5163,                0.43866,                0.88619,              0.0031195,              0.0031195,              0.0031195
                    141,                0.57254,                0.96269,                 0.4302,                0.93012,                0.81104,                0.91155,                 0.9245,                0.77901,                0.84568,                0.86796,                0.87748,                0.69977,                0.60611,                 1.4685,                0.47679,                0.88792,                0.00307,                0.00307,                0.00307
                    142,                0.56049,                0.90864,                0.43497,                0.94683,                0.82424,                 0.9021,                0.93312,                0.79771,                0.80706,                0.87629,                0.89697,                0.69988,                0.59562,                 1.5221,                0.49087,                0.88326,              0.0030205,              0.0030205,              0.0030205
                    143,                0.55908,                0.93435,                0.42029,                0.92212,                0.86388,                0.97213,                0.95357,                0.81903,                0.83713,                0.91506,                0.91443,                0.71872,                0.58255,                 1.7794,                0.46231,                0.87482,               0.002971,               0.002971,               0.002971
                    144,                0.57587,                0.98388,                0.46431,                0.95428,                0.79588,                0.97958,                0.93403,                0.79345,                 0.7597,                0.91718,                0.88507,                0.69678,                0.59098,                 1.8115,                0.46008,                0.87747,              0.0029215,              0.0029215,              0.0029215
                    145,                0.56238,                 1.0083,                0.42989,                0.93345,                 0.8496,                 0.9421,                0.93555,                0.79191,                0.82493,                0.88707,                0.88601,                0.69882,                0.60011,                 1.7454,                0.45563,                0.88426,               0.002872,               0.002872,               0.002872
                    146,                0.54873,                0.96739,                0.43247,                0.93006,                0.79342,                0.92459,                0.90227,                0.76942,                0.76616,                0.86752,                0.85985,                0.67293,                0.60096,                 1.7222,                0.46444,                0.89373,              0.0028225,              0.0028225,              0.0028225
                    147,                0.53678,                0.92455,                0.39477,                0.92921,                0.86599,                0.89605,                0.90722,                0.77766,                0.83749,                0.84125,                0.85721,                0.67082,                0.59316,                 2.0174,                0.46433,                0.88717,               0.002773,               0.002773,               0.002773
                    148,                0.58292,                0.93839,                0.44731,                0.94191,                 0.7857,                0.94228,                0.88598,                0.75498,                 0.7622,                0.88593,                 0.8328,                0.65665,                0.60375,                 2.0237,                0.47182,                0.88486,              0.0027235,              0.0027235,              0.0027235
                    149,                0.56539,                 1.5463,                0.45348,                0.92193,                 0.7845,                0.93869,                0.87466,                0.74619,                 0.7628,                0.88593,                0.82041,                0.64685,                0.60728,                 1.9723,                 0.4663,                0.88687,               0.002674,               0.002674,               0.002674
                    150,                0.54142,                0.89166,                0.43048,                0.90733,                0.78816,                0.95069,                0.87787,                0.74359,                 0.7706,                0.90219,                0.81814,                0.64369,                0.60152,                 1.8894,                0.45858,                0.88828,              0.0026245,              0.0026245,              0.0026245
                    151,                0.56544,                0.87444,                0.42306,                0.91275,                0.80058,                0.92674,                0.89551,                0.76442,                0.77068,                0.87373,                0.83897,                0.65301,                0.60954,                 1.7116,                0.44811,                0.88481,               0.002575,               0.002575,               0.002575
                    152,                0.53836,                0.95513,                0.42229,                0.91538,                0.83562,                0.94355,                0.89561,                0.76189,                0.81151,                0.88648,                0.85243,                0.66748,                0.61396,                 1.6557,                0.45025,                0.88809,              0.0025255,              0.0025255,              0.0025255
                    153,                0.55227,                0.96247,                0.41822,                 0.9276,                0.83781,                0.93907,                0.89799,                0.76824,                0.82296,                0.88163,                0.85301,                0.66585,                0.59757,                 1.5389,                0.42628,                 0.8753,               0.002476,               0.002476,               0.002476
                    154,                0.54832,                0.98048,                0.42403,                0.92904,                0.82958,                0.94249,                0.89943,                0.77129,                0.81015,                0.86231,                0.84052,                0.66521,                0.59216,                  1.408,                0.42209,                 0.8723,              0.0024265,              0.0024265,              0.0024265
                    155,                0.53266,                0.83859,                0.41533,                0.93827,                0.85182,                0.98366,                0.90767,                0.77778,                0.81291,                0.91176,                0.85081,                0.66589,                  0.597,                 1.3125,                0.42248,                0.87878,               0.002377,               0.002377,               0.002377
                    156,                0.52981,                0.83626,                 0.4201,                0.92225,                0.86634,                0.87105,                0.90214,                0.77794,                 0.8574,                0.86848,                0.86718,                0.68285,                0.60245,                 1.3019,                0.42666,                0.87985,              0.0023275,              0.0023275,              0.0023275
                    157,                0.55393,                0.90117,                0.42589,                0.92927,                0.79153,                  0.963,                0.90197,                0.77448,                0.80233,                0.88419,                0.86752,                 0.6811,                0.59646,                 1.3307,                0.42276,                 0.8775,               0.002278,               0.002278,               0.002278
                    158,                0.54227,                0.89419,                0.40585,                0.92889,                0.85931,                0.89554,                0.91264,                 0.7922,                0.84862,                0.87558,                0.87852,                0.69532,                0.59734,                 1.3095,                0.42526,                0.88085,              0.0022285,              0.0022285,              0.0022285
                    159,                0.57096,                 0.9587,                0.41895,                0.93189,                0.85332,                0.90948,                0.93016,                0.81911,                0.84148,                0.88246,                0.89888,                0.71041,                0.58187,                 1.2755,                0.43371,                0.87103,               0.002179,               0.002179,               0.002179
                    160,                0.55313,                0.92473,                0.41967,                 0.9211,                 0.8655,                0.91833,                0.93186,                0.82426,                0.85158,                0.89108,                0.89984,                 0.7117,                0.58499,                 1.3725,                0.43807,                0.87145,              0.0021295,              0.0021295,              0.0021295
                    161,                0.56333,                0.90457,                0.40847,                 0.9207,                 0.8897,                0.94165,                0.95519,                0.83557,                0.85063,                0.88246,                0.90307,                  0.722,                0.58002,                  1.446,                0.42032,                0.86596,                0.00208,                0.00208,                0.00208
                    162,                0.54577,                0.81358,                0.40429,                0.93448,                0.86892,                0.97689,                0.96174,                0.83425,                0.85892,                0.88246,                0.90525,                 0.7284,                0.58234,                 1.4888,                0.41011,                 0.8612,              0.0020305,              0.0020305,              0.0020305
                    163,                0.52422,                0.86454,                0.39007,                0.91202,                0.90984,                0.95219,                0.96417,                0.83137,                0.88441,                0.89769,                0.91038,                0.72847,                0.59433,                 1.5399,                0.39826,                0.87153,               0.001981,               0.001981,               0.001981
                    164,                0.56489,                0.99511,                0.43147,                0.94541,                0.91059,                0.96439,                0.95278,                0.82933,                0.88784,                0.89966,                0.90211,                0.72101,                0.58718,                 1.5576,                0.39721,                0.86499,              0.0019315,              0.0019315,              0.0019315
                    165,                0.53086,                0.92387,                 0.3929,                0.92239,                0.90957,                0.97169,                0.95415,                0.82639,                0.88783,                0.89906,                0.89927,                0.71951,                 0.5835,                 1.5556,                0.40459,                0.86487,               0.001882,               0.001882,               0.001882
                    166,                0.53661,                0.83316,                0.38887,                0.90875,                0.91278,                0.96756,                0.95527,                0.82687,                0.87765,                0.89719,                0.89763,                0.71769,                0.58445,                 1.5263,                0.40578,                0.86074,              0.0018325,              0.0018325,              0.0018325
                    167,                0.52791,                 0.8232,                0.39305,                0.94173,                0.90516,                0.97332,                0.95807,                0.83803,                0.88387,                0.89707,                0.89024,                0.71279,                0.58263,                 1.5756,                0.40044,                0.85931,               0.001783,               0.001783,               0.001783
                    168,                0.54721,                0.85031,                0.40485,                 0.9512,                0.90473,                0.93477,                0.94905,                0.83255,                0.87495,                0.89489,                0.88645,                0.71304,                0.59048,                 1.5266,                0.39967,                0.86357,              0.0017335,              0.0017335,              0.0017335
                    169,                0.54354,                0.84066,                0.39314,                0.90332,                0.88483,                0.92966,                0.94467,                0.83088,                0.86046,                0.89336,                0.88514,                0.70803,                0.58807,                 1.5346,                0.41099,                 0.8635,               0.001684,               0.001684,               0.001684
                    170,                0.52447,                0.82728,                0.40325,                0.91338,                0.88829,                 0.9378,                0.94721,                0.83155,                0.86035,                0.89639,                0.88178,                0.71053,                0.58632,                 1.4788,                0.41033,                0.86324,              0.0016345,              0.0016345,              0.0016345
                    171,                0.52883,                0.81978,                0.39636,                 0.9405,                0.88193,                0.97505,                0.94301,                0.83168,                0.84144,                0.89816,                0.89271,                0.70991,                 0.5806,                 1.4634,                0.42268,                0.85626,               0.001585,               0.001585,               0.001585
                    172,                0.54022,                0.84648,                0.39255,                0.92856,                0.87751,                0.98378,                0.94228,                0.82791,                0.83647,                0.90791,                0.89344,                0.70532,                 0.5782,                 1.4613,                0.42065,                0.85424,              0.0015355,              0.0015355,              0.0015355
                    173,                0.51636,                0.88555,                0.40411,                0.92697,                0.86442,                0.97153,                 0.9411,                0.82222,                  0.824,                0.89491,                0.89223,                 0.6973,                0.57473,                 1.4931,                0.42245,                0.85388,               0.001486,               0.001486,               0.001486
                    174,                 0.4905,                0.81897,                0.37152,                  0.912,                0.86105,                 0.9621,                0.93973,                0.82119,                0.84287,                0.90376,                0.90683,                0.69961,                0.57141,                  1.426,                0.42164,                0.85344,              0.0014365,              0.0014365,              0.0014365
                    175,                0.52222,                0.92174,                0.37763,                 0.9195,                 0.8866,                0.96987,                0.94615,                0.82133,                0.85066,                 0.9006,                0.90639,                0.71273,                0.57367,                  1.297,                0.42822,                0.85192,               0.001387,               0.001387,               0.001387
                    176,                0.50038,                0.80356,                0.38249,                0.90576,                0.88973,                0.98038,                0.94785,                0.82197,                0.85807,                0.90412,                0.90108,                  0.705,                0.57484,                 1.3406,                0.43385,                0.85306,              0.0013375,              0.0013375,              0.0013375
                    177,                0.52935,                0.84687,                0.39856,                0.91614,                0.89484,                0.97622,                0.95838,                 0.8283,                 0.8572,                0.90408,                0.90808,                0.71058,                0.57887,                 1.4223,                 0.4288,                0.85675,               0.001288,               0.001288,               0.001288
                    178,                0.50066,                0.81729,                0.37608,                0.91032,                0.88823,                0.93959,                0.95578,                0.82303,                0.88344,                0.89522,                0.90812,                0.71974,                 0.5858,                 1.5144,                0.42289,                0.86039,              0.0012385,              0.0012385,              0.0012385
                    179,                0.53097,                0.88994,                 0.3917,                0.92597,                0.92736,                0.90133,                 0.9526,                0.82059,                0.92061,                0.89288,                0.90212,                0.72936,                 0.5824,                 1.6281,                0.41858,                0.86249,               0.001189,               0.001189,               0.001189
                    180,                0.51223,                0.83832,                0.38387,                0.90993,                0.95927,                0.89903,                0.95201,                0.81995,                0.95075,                0.89058,                 0.9002,                0.73672,                0.58406,                 1.6612,                0.42926,                0.86164,              0.0011395,              0.0011395,              0.0011395
                    181,                0.52481,                0.94028,                0.37934,                0.91376,                 0.9625,                0.89395,                0.95375,                0.81864,                0.95186,                0.88625,                0.89547,                0.73771,                0.58298,                 1.6737,                0.41476,                0.86195,                0.00109,                0.00109,                0.00109
                    182,                0.52462,                0.86129,                0.37088,                0.90989,                 0.9616,                0.89516,                0.94489,                0.82181,                0.94619,                0.88191,                0.89724,                0.73471,                0.57603,                 1.7537,                0.40636,                0.85354,              0.0010405,              0.0010405,              0.0010405
                    183,                0.52836,                0.83945,                0.39054,                0.91737,                0.95037,                0.90789,                0.94423,                0.81949,                0.94969,                0.90985,                0.91567,                0.72731,                0.57574,                 1.7912,                0.40113,                0.85491,               0.000991,               0.000991,               0.000991
                    184,                0.51035,                 0.8308,                0.34803,                0.90314,                0.96867,                0.90468,                0.94297,                0.81925,                0.96572,                0.91146,                0.91726,                0.72042,                0.57072,                 1.7693,                0.39302,                0.85389,              0.0009415,              0.0009415,              0.0009415
                    185,                0.50008,                0.79508,                 0.3662,                0.91429,                0.94198,                0.91175,                0.94415,                0.82279,                0.94287,                0.91287,                0.91749,                0.72165,                0.56995,                 1.7693,                0.38848,                 0.8544,               0.000892,               0.000892,               0.000892
                    186,                0.52571,                0.83431,                0.39217,                0.91294,                 0.9542,                0.90225,                 0.9455,                0.81882,                0.95363,                0.90379,                0.91875,                0.72038,                0.57148,                 1.7081,                0.38268,                0.85626,              0.0008425,              0.0008425,              0.0008425
                    187,                0.50297,                0.83485,                0.38633,                0.91861,                0.95499,                 0.8944,                0.95183,                0.81949,                0.95379,                0.89625,                0.91935,                 0.7225,                0.57397,                 1.7021,                0.38012,                0.85602,               0.000793,               0.000793,               0.000793
                    188,                0.53032,                 0.8664,                0.38629,                0.91393,                0.94078,                0.90405,                0.95269,                0.82157,                0.94058,                0.90642,                0.91976,                0.72425,                0.56843,                 1.6858,                0.38022,                0.85526,              0.0007435,              0.0007435,              0.0007435
                    189,                0.52719,                 0.8902,                0.38345,                0.91236,                0.93425,                0.90682,                0.94585,                0.82223,                0.93454,                 0.9093,                0.92881,                0.73585,                0.56416,                 1.7426,                0.37856,                0.85207,               0.000694,               0.000694,               0.000694
                    190,                0.51624,                0.88665,                0.44297,                0.91022,                0.92554,                0.91175,                0.95301,                0.82083,                0.93117,                0.91718,                0.92902,                0.73595,                0.56459,                 1.7266,                0.37361,                0.85266,              0.0006445,              0.0006445,              0.0006445
                    191,                0.57672,                 1.1693,                 0.4947,                0.94314,                0.89074,                0.98364,                0.96524,                0.83849,                0.91089,                0.91672,                0.92919,                0.73194,                0.56917,                  1.653,                0.38269,                0.85386,               0.000595,               0.000595,               0.000595
                    192,                0.52749,                0.99475,                0.44003,                0.92245,                0.89121,                0.98325,                0.96584,                0.84586,                0.90461,                 0.9184,                 0.9299,                0.73699,                0.57192,                 1.6429,                0.38905,                0.85777,              0.0005455,              0.0005455,              0.0005455
                    193,                0.55343,                 0.8587,                0.43391,                0.94032,                0.89163,                0.97425,                0.96602,                0.84914,                0.90282,                0.91707,                0.92997,                0.73722,                0.57316,                 1.6233,                0.39078,                0.86126,               0.000496,               0.000496,               0.000496
                    194,                0.53885,                0.85435,                   0.41,                0.91111,                0.89819,                0.97425,                0.96587,                0.85041,                0.89984,                0.91649,                0.92996,                0.74048,                0.57114,                 1.6269,                0.39068,                0.86002,              0.0004465,              0.0004465,              0.0004465
                    195,                 0.5212,                0.82139,                0.39618,                0.90442,                0.91389,                0.97352,                 0.9642,                0.84653,                0.89738,                 0.9102,                0.92838,                0.73981,                 0.5703,                 1.6219,                 0.3993,                0.85924,               0.000397,               0.000397,               0.000397
                    196,                0.55098,                0.87657,                0.40901,                0.90952,                0.91825,                0.97064,                0.96426,                 0.8475,                0.89437,                0.90684,                0.92839,                0.73935,                0.56772,                 1.6977,                0.40216,                0.85796,              0.0003475,              0.0003475,              0.0003475
                    197,                0.49498,                 0.8322,                 0.3829,                0.89149,                  0.919,                0.96412,                0.96549,                0.84806,                0.89906,                0.89731,                0.92951,                0.74237,                0.57105,                 1.5733,                0.40158,                0.86005,               0.000298,               0.000298,               0.000298
                    198,                0.51584,                0.92885,                0.38301,                0.89924,                0.91833,                0.96079,                0.96472,                0.84699,                 0.8975,                0.89656,                0.92883,                0.73388,                0.57079,                 1.6339,                0.40375,                0.86029,              0.0002485,              0.0002485,              0.0002485
                    199,                 0.5224,                0.87941,                0.37979,                 0.9085,                0.92558,                0.95235,                0.96369,                0.84693,                0.89931,                0.89425,                0.92496,                  0.726,                 0.5674,                 1.6967,                0.40666,                0.85911,               0.000199,               0.000199,               0.000199
